gwcode,year
2,1995
2,1996
2,1997
2,1998
2,1999
2,2000
2,2001
2,2002
2,2003
2,2004
2,2005
20,1995
20,1996
20,1997
20,1998
20,1999
20,2000
20,2001
20,2002
20,2003
20,2004
20,2005
40,1995
40,1996
40,1997
40,1998
40,1999
40,2000
40,2001
40,2002
40,2003
40,2004
40,2005
41,1995
41,1996
41,1997
41,1998
41,1999
41,2000
41,2001
41,2002
41,2003
41,2004
41,2005
42,1995
42,1996
42,1997
42,1998
42,1999
42,2000
42,2001
42,2002
42,2003
42,2004
42,2005
51,1995
51,1996
51,1997
51,1998
51,1999
51,2000
51,2001
51,2002
51,2003
51,2004
51,2005
52,1995
52,1996
52,1997
52,1998
52,1999
52,2000
52,2001
52,2002
52,2003
52,2004
52,2005
70,1995
70,1996
70,1997
70,1998
70,1999
70,2000
70,2001
70,2002
70,2003
70,2004
70,2005
90,1995
90,1996
90,1997
90,1998
90,1999
90,2000
90,2001
90,2002
90,2003
90,2004
90,2005
91,1995
91,1996
91,1997
91,1998
91,1999
91,2000
91,2001
91,2002
91,2003
91,2004
91,2005
92,1995
92,1996
92,1997
92,1998
92,1999
92,2000
92,2001
92,2002
92,2003
92,2004
92,2005
93,1995
93,1996
93,1997
93,1998
93,1999
93,2000
93,2001
93,2002
93,2003
93,2004
93,2005
94,1995
94,1996
94,1997
94,1998
94,1999
94,2000
94,2001
94,2002
94,2003
94,2004
94,2005
95,1995
95,1996
95,1997
95,1998
95,1999
95,2000
95,2001
95,2002
95,2003
95,2004
95,2005
100,1995
100,1996
100,1997
100,1998
100,1999
100,2000
100,2001
100,2002
100,2003
100,2004
100,2005
101,1995
101,1996
101,1997
101,1998
101,1999
101,2000
101,2001
101,2002
101,2003
101,2004
101,2005
110,1995
110,1996
110,1997
110,1998
110,1999
110,2000
110,2001
110,2002
110,2003
110,2004
110,2005
115,1995
115,1996
115,1997
115,1998
115,1999
115,2000
115,2001
115,2002
115,2003
115,2004
115,2005
130,1995
130,1996
130,1997
130,1998
130,1999
130,2000
130,2001
130,2002
130,2003
130,2004
130,2005
135,1995
135,1996
135,1997
135,1998
135,1999
135,2000
135,2001
135,2002
135,2003
135,2004
135,2005
140,1995
140,1996
140,1997
140,1998
140,1999
140,2000
140,2001
140,2002
140,2003
140,2004
140,2005
145,1995
145,1996
145,1997
145,1998
145,1999
145,2000
145,2001
145,2002
145,2003
145,2004
145,2005
150,1995
150,1996
150,1997
150,1998
150,1999
150,2000
150,2001
150,2002
150,2003
150,2004
150,2005
155,1995
155,1996
155,1997
155,1998
155,1999
155,2000
155,2001
155,2002
155,2003
155,2004
155,2005
160,1995
160,1996
160,1997
160,1998
160,1999
160,2000
160,2001
160,2002
160,2003
160,2004
160,2005
165,1995
165,1996
165,1997
165,1998
165,1999
165,2000
165,2001
165,2002
165,2003
165,2004
165,2005
200,1995
200,1996
200,1997
200,1998
200,1999
200,2000
200,2001
200,2002
200,2003
200,2004
200,2005
205,1995
205,1996
205,1997
205,1998
205,1999
205,2000
205,2001
205,2002
205,2003
205,2004
205,2005
210,1995
210,1996
210,1997
210,1998
210,1999
210,2000
210,2001
210,2002
210,2003
210,2004
210,2005
211,1995
211,1996
211,1997
211,1998
211,1999
211,2000
211,2001
211,2002
211,2003
211,2004
211,2005
220,1995
220,1996
220,1997
220,1998
220,1999
220,2000
220,2001
220,2002
220,2003
220,2004
220,2005
225,1995
225,1996
225,1997
225,1998
225,1999
225,2000
225,2001
225,2002
225,2003
225,2004
225,2005
230,1995
230,1996
230,1997
230,1998
230,1999
230,2000
230,2001
230,2002
230,2003
230,2004
230,2005
235,1995
235,1996
235,1997
235,1998
235,1999
