gwcode,year,igo_n,igo_total,igo_p
2,1995,90,323,0.2786377708978328
2,1996,89,325,0.27384615384615385
2,1997,90,328,0.27439024390243905
2,1998,91,337,0.27002967359050445
2,1999,89,330,0.2696969696969697
2,2000,88,330,0.26666666666666666
2,2001,89,323,0.2755417956656347
2,2002,88,327,0.2691131498470948
2,2003,87,327,0.26605504587155965
2,2004,87,327,0.26605504587155965
2,2005,88,324,0.2716049382716049
20,1995,91,323,0.28173374613003094
20,1996,89,325,0.27384615384615385
20,1997,88,328,0.2682926829268293
20,1998,88,337,0.26112759643916916
20,1999,88,330,0.26666666666666666
20,2000,87,330,0.2636363636363636
20,2001,89,323,0.2755417956656347
20,2002,89,327,0.27217125382262997
20,2003,91,327,0.2782874617737003
20,2004,89,327,0.27217125382262997
20,2005,89,324,0.27469135802469136
40,1995,59,323,0.1826625386996904
40,1996,58,325,0.17846153846153845
40,1997,59,328,0.1798780487804878
40,1998,64,337,0.18991097922848665
40,1999,65,330,0.19696969696969696
40,2000,65,330,0.19696969696969696
40,2001,65,323,0.20123839009287925
40,2002,65,327,0.19877675840978593
40,2003,67,327,0.20489296636085627
40,2004,66,327,0.2018348623853211
40,2005,67,324,0.20679012345679013
41,1995,57,323,0.17647058823529413
41,1996,58,325,0.17846153846153845
41,1997,58,328,0.17682926829268292
41,1998,59,337,0.17507418397626112
41,1999,59,330,0.1787878787878788
41,2000,61,330,0.18484848484848485
41,2001,61,323,0.18885448916408668
41,2002,62,327,0.18960244648318042
41,2003,63,327,0.1926605504587156
41,2004,64,327,0.19571865443425077
41,2005,64,324,0.19753086419753085
42,1995,59,323,0.1826625386996904
42,1996,56,325,0.1723076923076923
42,1997,59,328,0.1798780487804878
42,1998,60,337,0.17804154302670624
42,1999,61,330,0.18484848484848485
42,2000,65,330,0.19696969696969696
42,2001,66,323,0.2043343653250774
42,2002,65,327,0.19877675840978593
42,2003,68,327,0.20795107033639143
42,2004,69,327,0.21100917431192662
42,2005,71,324,0.2191358024691358
51,1995,59,323,0.1826625386996904
51,1996,58,325,0.17846153846153845
51,1997,59,328,0.1798780487804878
51,1998,61,337,0.18100890207715134
51,1999,62,330,0.18787878787878787
51,2000,64,330,0.19393939393939394
51,2001,64,323,0.19814241486068113
51,2002,62,327,0.18960244648318042
51,2003,62,327,0.18960244648318042
51,2004,61,327,0.18654434250764526
51,2005,63,324,0.19444444444444445
52,1995,58,323,0.17956656346749225
52,1996,57,325,0.1753846153846154
52,1997,59,328,0.1798780487804878
52,1998,63,337,0.18694362017804153
