gwcode,year,hro_n,hro_secloc
2,1995,83,70
2,1996,90,71
2,1997,97,71
2,1998,94,71
2,1999,91,71
2,2000,110,71
2,2001,109,71
2,2002,108,71
2,2003,107,71
2,2004,NA,71
2,2005,NA,71
20,1995,69,8
20,1996,76,8
20,1997,83,8
20,1998,80.5,8
20,1999,78,8
20,2000,93,8
20,2001,92,9
20,2002,91,9
20,2003,90,9
20,2004,NA,9
20,2005,NA,9
40,1995,19,1
40,1996,23.5,1
40,1997,28,1
40,1998,26.5,1
40,1999,25,1
40,2000,28,1
40,2001,29.3333333333335,1
40,2002,30.6666666666665,1
40,2003,32,1
40,2004,NA,1
40,2005,NA,1
41,1995,22,0
41,1996,25,0
41,1997,28,0
41,1998,29.5,0
41,1999,31,0
41,2000,26,0
41,2001,26,0
41,2002,26,0
41,2003,26,0
41,2004,NA,0
41,2005,NA,0
42,1995,26,0
42,1996,30,0
42,1997,34,0
42,1998,33.5,0
42,1999,33,0
42,2000,34,0
42,2001,34.3333333333334,0
42,2002,34.6666666666666,0
42,2003,35,0
42,2004,NA,0
42,2005,NA,0
51,1995,30,0
51,1996,29,0
51,1997,28,0
51,1998,25.5,0
51,1999,23,0
51,2000,25,0
51,2001,26,0
51,2002,27,0
51,2003,28,0
51,2004,NA,0
51,2005,NA,0
52,1995,NA,NA
52,1996,NA,NA
52,1997,24,0
52,1998,23.5,0
52,1999,23,0
52,2000,24,0
52,2001,23.3333333333333,0
52,2002,22.6666666666667,0
52,2003,NA,NA
52,2004,NA,0
52,2005,NA,0
70,1995,53,2
70,1996,56,2
70,1997,59,2
70,1998,58.5,2
70,1999,58,2
70,2000,61,2
70,2001,61,2
70,2002,61,2
70,2003,61,2
70,2004,NA,2
70,2005,NA,2
90,1995,36,0
90,1996,39,0
90,1997,42,0
90,1998,41.5,0
90,1999,41,0
90,2000,44,0
90,2001,44.3333333333334,0
90,2002,44.6666666666666,0
90,2003,45,0
90,2004,NA,0
90,2005,NA,0
91,1995,24,0
91,1996,28,0
91,1997,32,0
91,1998,31.5,0
91,1999,31,0
91,2000,32,0
91,2001,31,0
91,2002,30,0
91,2003,NA,NA
91,2004,NA,0
91,2005,NA,0
92,1995,33,NA
92,1996,36.5,NA
92,1997,40,NA
92,1998,39.5,NA
92,1999,39,NA
92,2000,38,NA
92,2001,38.6666666666667,NA
92,2002,39.3333333333333,NA
92,2003,40,NA
92,2004,NA,NA
