cowccode,iso3alpha,iso3numeric,year,LoTUnknownUnknown,LoTUnknownCriminal,LoTUnknownDissident,LoTUnknownMarginalized,LoTUnknownStateAgent,LoTPoliceUnknown,LoTPoliceCriminal,LoTPoliceDissident,LoTPoliceMarginalized,LoTPoliceStateAgent,LoTPrisonUnknown,LoTPrisonCriminal,LoTPrisonDissident,LoTPrisonMarginalized,LoTPrisonStateAgent,LoTMilitaryUnknown,LoTMilitaryCriminal,LoTMilitaryDissident,LoTMilitaryMarginalized,LoTMilitaryStateAgent,LoTIntelligenceUnknown,LoTIntelligenceCriminal,LoTIntelligenceDissident,LoTIntelligenceMarginalized,LoTIntelligenceStateAgent,LoTImmigrationUnknown,LoTImmigrationCriminal,LoTImmigrationDissident,LoTImmigrationMarginalized,LoTImmigrationStateAgent,LoTParamilitaryUnknown,LoTParamilitaryCriminal,LoTParamilitaryDissident,LoTParamilitaryMarginalized,LoTParamilitaryStateAgent,RstrctAccess
2,"USA",840,1995,"No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","Widespread","Several","No Allegations","No Allegations","No Allegations","No Allegations","Widespread","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","Several","No Allegations","Several","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","Yes"
2,"USA",840,1996,"No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","Several","Several","No Allegations","No Allegations","No Allegations","No Allegations","Widespread","No Allegations","Several","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","Several","No Allegations","Several","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","Yes"
2,"USA",840,1997,"No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","Several","Several","No Allegations","No Allegations","No Allegations","No Allegations","Widespread","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","Routinely","No Allegations","Routinely","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","Yes"
2,"USA",840,1998,"Routinely","No Allegations","No Allegations","No Allegations","No Allegations","Systematic","Systematic","No Allegations","Systematic","No Allegations","No Allegations","Widespread","No Allegations","Widespread","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","Several","No Allegations","Several","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","Yes"
2,"USA",840,1999,"Routinely","No Allegations","No Allegations","Several","No Allegations","Routinely","No Allegations","No Allegations","No Allegations","No Allegations","Systematic","Widespread","No Allegations","Widespread","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No"
2,"USA",840,2000,"No Allegations","Several","No Allegations","Allegation, No LoT","No Allegations","Widespread","Systematic","No Allegations","Several","No Allegations","No Allegations","Systematic","No Allegations","Several","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No"
2,"USA",840,2001,"Infrequent","Several","No Allegations","No Allegations","No Allegations","Widespread","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","Widespread","No Allegations","Several","No Allegations","No Allegations","Systematic","Several","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No"
2,"USA",840,2002,"Infrequent","Several","Routinely","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","Systematic","No Allegations","No Allegations","No Allegations","No Allegations","Systematic","Systematic","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No"
2,"USA",840,2003,"Infrequent","Several","Routinely","No Allegations","No Allegations","No Allegations","No Allegations","Several","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","Widespread","Systematic","No Allegations","No Allegations","Systematic","No Allegations","Systematic","Systematic","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No"
2,"USA",840,2004,"Several","No Allegations","Routinely","Routinely","No Allegations","Widespread","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","Routinely","Systematic","No Allegations","No Allegations","Systematic","No Allegations","Systematic","Systematic","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No"
2,"USA",840,2005,"No Allegations","Widespread","Routinely","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","Routinely","No Allegations","Widespread","No Allegations","Systematic","No Allegations","Systematic","Systematic","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No"
20,"CAN",124,1995,"No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No"
