cowccode,iso3numeric,iso3alpha,year,LoTUnknown,LoTCriminal,LoTDissident,LoTMarginalized,LoTStateAgent,RstrctAccess
2,840,"USA",1995,"Widespread","Widespread","No Allegations","Several","No Allegations","Yes"
2,840,"USA",1996,"Several","Widespread","No Allegations","Several","No Allegations","Yes"
2,840,"USA",1997,"Several","Widespread","No Allegations","Routinely","No Allegations","Yes"
2,840,"USA",1998,"Systematic","Systematic","No Allegations","Systematic","No Allegations","Yes"
2,840,"USA",1999,"Systematic","Widespread","No Allegations","Widespread","No Allegations","No"
2,840,"USA",2000,"Widespread","Systematic","No Allegations","Several","No Allegations","No"
2,840,"USA",2001,"Widespread","Systematic","Several","Several","No Allegations","No"
2,840,"USA",2002,"Infrequent","Systematic","Systematic","No Allegations","No Allegations","No"
2,840,"USA",2003,"Widespread","Systematic","Systematic","No Allegations","Systematic","No"
2,840,"USA",2004,"Widespread","Systematic","Systematic","Routinely","Systematic","No"
2,840,"USA",2005,"Routinely","Systematic","Systematic","No Allegations","Systematic","No"
20,124,"CAN",1995,"No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No"
20,124,"CAN",1996,"No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No"
20,124,"CAN",1997,"No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No"
20,124,"CAN",1998,"No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No"
20,124,"CAN",1999,"No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No"
20,124,"CAN",2000,"Infrequent","No Allegations","No Allegations","No Allegations","No Allegations","No"
20,124,"CAN",2001,"Infrequent","No Allegations","No Allegations","No Allegations","No Allegations","No"
20,124,"CAN",2002,"No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No"
20,124,"CAN",2003,"Several","Systematic","Several","No Allegations","No Allegations","No"
20,124,"CAN",2004,"No Allegations","No Allegations","No Allegations","Several","No Allegations","No"
20,124,"CAN",2005,"No Allegations","No Allegations","No Allegations","No Allegations","No Allegations","No"
