cow,year,laworder,ciri,hc,gcr,fvfacto80_03,keith,cim,xconst
2,1948,,,,,,,0.844260275,7
2,1949,,,,,,,0.849620402,7
2,1950,,,,,,,0.849950612,7
2,1951,,,,,,,0.851760089,7
2,1952,,,,,,,0.895586908,7
2,1953,,,,,,,0.892180145,7
2,1954,,,,,,,0.900572956,7
2,1955,,,,,,,0.900535583,7
2,1956,,,,,,,0.904637933,7
2,1957,,,,,,,0.94064182,7
2,1958,,,,,,,0.915834188,7
2,1959,,,,,,,0.918165565,7
2,1960,,,,,,,0.920555174,7
2,1961,,,,,,,0.923696697,7
2,1962,,,,,,,0.933616281,7
2,1963,,,,,,,0.927642941,7
2,1964,,,,,,,0.929477751,7
2,1965,,,,,,,0.93204397,7
2,1966,,,,,,,0.932206392,7
2,1967,,,,,,,0.935433507,7
2,1968,,,,,,,0.935381711,7
2,1969,,,,,,,0.931610763,7
2,1970,,,,,,,0.932894826,7
2,1971,,,,,,,0.937259793,7
2,1972,,,,,,,0.94114548,7
2,1973,,,,,,,0.943781376,7
2,1974,,,,,,,0.942676783,7
2,1975,,,,,,,0.937652767,7
2,1976,,,,,,,0.945609331,7
2,1977,,,,,,,0.945350349,7
2,1978,,,,,,,0.943662941,7
2,1979,,,,,,,0.94349426,7
2,1980,,,,,0.591666639,2,0.945685685,7
2,1981,,2,,,0.591666639,2,0.950193942,7
2,1982,,2,,,0.591666639,2,0.950648308,7
2,1983,,2,,,0.591666639,2,0.949317396,7
2,1984,6,2,,,0.591666639,2,0.95143342,7
2,1985,6,2,,,0.591666639,2,0.950730085,7
2,1986,6,2,,,0.591666639,2,0.951900959,7
2,1987,6,2,,,0.591666639,2,0.949848354,7
2,1988,6,2,,,0.591666639,2,0.949119389,7
2,1989,6,2,,,0.591666639,2,0.949174702,7
2,1990,6,2,,,0.591666639,2,0.944296181,7
2,1991,6,2,,,0.591666639,2,0.940458775,7
2,1992,6,2,2,,0.591666639,2,0.934877276,7
2,1993,6,2,2,,0.591666639,2,0.929251313,7
2,1994,6,2,2,,0.591666639,2,0.921846449,7
2,1995,6,2,2,8.300000191,0.591666639,2,0.922929645,7
2,1996,6,2,2,,0.591666639,2,0.923085809,7
2,1997,6,2,2,,0.591666639,2,0.923741579,7
2,1998,6,2,2,,0.591666639,2,0.92438823,7
2,1999,6,2,2,,0.591666639,2,0.916956306,7
2,2000,6,2,,8.015999794,0.591666639,2,0.922013879,7
2,2001,6,2,,7.885571957,0.591666639,2,0.924955785,7
2,2002,5.579999924,2,,7.833333492,0.591666639,2,0.922875166,7
2,2003,5,2,,7,0.591666639,2,0.921810389,7
2,2004,5,2,,7.473460674,,2,0.921797037,7
2,2005,5,2,,6.600295067,,2,0.924498618,7
2,2006,5,2,,,,2,0.928731978,7
2,2007,4.710000038,2,,,,2,0.935927987,7
2,2008,5,2,,,,2,0.936239123,7
2,2009,,2,,,,2,,7
2,2010,,,,,,2,,7
2,2011,,,,,,,,7
2,2012,,,,,,,,7
20,1948,,,,,,,0.845297992,7
20,1949,,,,,,,0.85277462,7
20,1950,,,,,,,0.855027497,7
20,1951,,,,,,,0.850929499,7
20,1952,,,,,,,0.849201143,7
20,1953,,,,,,,0.855438828,7
20,1954,,,,,,,0.865025699,7
20,1955,,,,,,,0.866911888,7
20,1956,,,,,,,0.862320185,7
20,1957,,,,,,,0.879889548,7
20,1958,,,,,,,0.887697637,7
20,1959,,,,,,,0.882543266,7
20,1960,,,,,,,0.884686768,7
20,1961,,,,,,,0.888494432,7
20,1962,,,,,,,0.886902928,7
20,1963,,,,,,,0.895085573,7
20,1964,,,,,,,0.900853872,7
20,1965,,,,,,,0.904623091,7
20,1966,,,,,,,0.920935333,7
20,1967,,,,,,,0.924591184,7
20,1968,,,,,,,0.927609503,7
20,1969,,,,,,,0.927823484,7
20,1970,,,,,,,0.930579245,7
20,1971,,,,,,,0.928459287,7
20,1972,,,,,,,0.92718482,7
20,1973,,,,,,,0.929740429,7
20,1974,,,,,,,0.93317908,7
20,1975,,,,,,,0.932892263,7
20,1976,,,,,,,0.939726591,7
20,1977,,,,,,,0.941874444,7
20,1978,,,,,,,0.944848418,7
20,1979,,,,,,,0.949404597,7
20,1980,,,,,,2,0.951397121,7
20,1981,,2,,,,2,0.961016476,7
20,1982,,2,,,,2,0.96006,7
20,1983,,2,,,,2,0.957369149,7
20,1984,6,2,,,,2,0.957119882,7
20,1985,6,2,,,,2,0.956638455,7
20,1986,6,2,,,,2,0.957417786,7
20,1987,6,2,,,,2,0.957514584,7
20,1988,6,2,,,,2,0.959034741,7
20,1989,6,2,,,,2,0.961840272,7
20,1990,6,2,,,,2,0.963406026,7
20,1991,6,2,,,,2,0.962629437,7
20,1992,6,2,2,,,2,0.962299407,7
20,1993,6,2,2,,,2,0.959737122,7
20,1994,6,2,2,,,2,0.95878619,7
20,1995,6,2,2,9.516666412,,2,0.959704876,7
20,1996,6,2,2,,,2,0.960993648,7
20,1997,6,2,2,,,2,0.960781455,7
20,1998,6,2,2,,,2,0.958734572,7
20,1999,6,2,2,,,2,0.952366173,7
20,2000,6,2,,9.18500042,,2,0.958540499,7
20,2001,6,2,,8.817204475,,2,0.980597019,7
20,2002,6,2,,7.5,,2,0.979870379,7
20,2003,6,2,,8.166666985,,2,0.979214251,7
20,2004,6,2,,7.567204475,,2,0.979314029,7
20,2005,6,2,,7.91228056,,2,0.980252028,7
20,2006,6,2,,,,2,0.98134017,7
20,2007,6,2,,,,2,0.974507272,7
20,2008,6,2,,,,2,0.975933313,7
20,2009,,2,,,,2,,7
20,2010,,,,,,2,,7
20,2011,,,,,,,,7
20,2012,,,,,,,,7
31,1948,,,,,,,,
31,1949,,,,,,,,
31,1950,,,,,,,,
31,1951,,,,,,,,
31,1952,,,,,,,,
31,1953,,,,,,,,
31,1954,,,,,,,,
31,1955,,,,,,,,
31,1956,,,,,,,,
31,1957,,,,,,,,
31,1958,,,,,,,,
31,1959,,,,,,,,
31,1960,,,,,,,,
31,1961,,,,,,,,
31,1962,,,,,,,,
31,1963,,,,,,,,
31,1964,,,,,,,,
31,1965,,,,,,,,
31,1966,,,,,,,,
31,1967,,,,,,,,
31,1968,,,,,,,,
31,1969,,,,,,,0.913346589,
31,1970,,,,,,,0.903050125,
31,1971,,,,,,,0.919133186,
31,1972,,,,,,,0.895843506,
31,1973,,,,,,,0.902603686,
31,1974,,,,,,,0.907434046,
31,1975,,,,,,,0.912073493,
31,1976,,,,,,,0.924990833,
31,1977,,,,,,,0.916963637,
31,1978,,,,,,,0.916745186,
31,1979,,,,,,,0.918867409,
31,1980,,,,,0.449999988,2,0.920702755,
31,1981,,2,,,0.449999988,2,0.919982851,
31,1982,,2,,,0.449999988,2,0.923902988,
31,1983,,2,,,0.449999988,2,0.925495327,
31,1984,,2,,,0.449999988,2,0.92362982,
31,1985,4,2,,,0.449999988,2,0.918211401,
