gwcode,NY.GDP.MKTP.KD.ZG,datestr,date
2,NA,1960,1960-12-31
20,NA,1960,1960-12-31
40,NA,1960,1960-12-31
41,NA,1960,1960-12-31
42,NA,1960,1960-12-31
70,NA,1960,1960-12-31
90,NA,1960,1960-12-31
91,NA,1960,1960-12-31
92,NA,1960,1960-12-31
93,NA,1960,1960-12-31
94,NA,1960,1960-12-31
95,NA,1960,1960-12-31
100,NA,1960,1960-12-31
101,NA,1960,1960-12-31
130,NA,1960,1960-12-31
135,NA,1960,1960-12-31
140,NA,1960,1960-12-31
145,NA,1960,1960-12-31
150,NA,1960,1960-12-31
155,NA,1960,1960-12-31
160,NA,1960,1960-12-31
165,NA,1960,1960-12-31
200,NA,1960,1960-12-31
205,NA,1960,1960-12-31
210,NA,1960,1960-12-31
211,NA,1960,1960-12-31
212,NA,1960,1960-12-31
220,NA,1960,1960-12-31
225,NA,1960,1960-12-31
230,NA,1960,1960-12-31
235,NA,1960,1960-12-31
260,NA,1960,1960-12-31
265,NA,1960,1960-12-31
290,NA,1960,1960-12-31
305,NA,1960,1960-12-31
310,NA,1960,1960-12-31
315,NA,1960,1960-12-31
325,NA,1960,1960-12-31
339,NA,1960,1960-12-31
345,NA,1960,1960-12-31
350,NA,1960,1960-12-31
352,NA,1960,1960-12-31
355,NA,1960,1960-12-31
360,NA,1960,1960-12-31
365,NA,1960,1960-12-31
375,NA,1960,1960-12-31
380,NA,1960,1960-12-31
385,NA,1960,1960-12-31
390,NA,1960,1960-12-31
395,NA,1960,1960-12-31
432,NA,1960,1960-12-31
433,NA,1960,1960-12-31
434,NA,1960,1960-12-31
435,NA,1960,1960-12-31
436,NA,1960,1960-12-31
437,NA,1960,1960-12-31
438,NA,1960,1960-12-31
439,NA,1960,1960-12-31
450,NA,1960,1960-12-31
452,NA,1960,1960-12-31
461,NA,1960,1960-12-31
471,NA,1960,1960-12-31
475,NA,1960,1960-12-31
481,NA,1960,1960-12-31
482,NA,1960,1960-12-31
483,NA,1960,1960-12-31
484,NA,1960,1960-12-31
490,NA,1960,1960-12-31
520,NA,1960,1960-12-31
530,NA,1960,1960-12-31
560,NA,1960,1960-12-31
580,NA,1960,1960-12-31
600,NA,1960,1960-12-31
616,NA,1960,1960-12-31
620,NA,1960,1960-12-31
625,NA,1960,1960-12-31
630,NA,1960,1960-12-31
640,NA,1960,1960-12-31
645,NA,1960,1960-12-31
651,NA,1960,1960-12-31
652,NA,1960,1960-12-31
660,NA,1960,1960-12-31
663,NA,1960,1960-12-31
666,NA,1960,1960-12-31
670,NA,1960,1960-12-31
678,NA,1960,1960-12-31
698,NA,1960,1960-12-31
700,NA,1960,1960-12-31
710,NA,1960,1960-12-31
712,NA,1960,1960-12-31
713,NA,1960,1960-12-31
731,NA,1960,1960-12-31
732,NA,1960,1960-12-31
740,NA,1960,1960-12-31
750,NA,1960,1960-12-31
760,NA,1960,1960-12-31
770,NA,1960,1960-12-31
775,NA,1960,1960-12-31
780,NA,1960,1960-12-31
790,NA,1960,1960-12-31
800,NA,1960,1960-12-31
811,NA,1960,1960-12-31
812,NA,1960,1960-12-31
816,NA,1960,1960-12-31
817,NA,1960,1960-12-31
820,NA,1960,1960-12-31
840,NA,1960,1960-12-31
850,NA,1960,1960-12-31
900,NA,1960,1960-12-31
920,NA,1960,1960-12-31
221,NA,1960,1960-12-31
223,NA,1960,1960-12-31
331,NA,1960,1960-12-31
232,NA,1960,1960-12-31
2,2.29999999999977,1961,1961-12-31
20,3.16329168371281,1961,1961-12-31
40,NA,1961,1961-12-31
41,NA,1961,1961-12-31
42,-2.31324874963366,1961,1961-12-31
70,5.00000000243348,1961,1961-12-31
90,4.29851834779807,1961,1961-12-31
91,1.85565932082041,1961,1961-12-31
92,NA,1961,1961-12-31
93,7.40021191816078,1961,1961-12-31
94,-0.95594044399796,1961,1961-12-31
95,10.9265948425098,1961,1961-12-31
100,5.2653723815326,1961,1961-12-31
101,3.19251943889358,1961,1961-12-31
130,1.54307865247283,1961,1961-12-31
135,7.34709633145569,1961,1961-12-31
140,10.275911554301,1961,1961-12-31
145,2.07998362809406,1961,1961-12-31
150,6.90028551585478,1961,1961-12-31
155,5.24527188577721,1961,1961-12-31
160,5.42784287951248,1961,1961-12-31
165,2.49303791839554,1961,1961-12-31
200,2.57356996313493,1961,1961-12-31
205,NA,1961,1961-12-31
210,0.295546672716924,1961,1961-12-31
211,4.97842306319194,1961,1961-12-31
212,3.82998312174053,1961,1961-12-31
220,5.50627243711742,1961,1961-12-31
225,NA,1961,1961-12-31
230,11.8386741948331,1961,1961-12-31
235,5.53490347567511,1961,1961-12-31
260,NA,1961,1961-12-31
265,NA,1961,1961-12-31
290,NA,1961,1961-12-31
305,5.53797931684525,1961,1961-12-31
310,NA,1961,1961-12-31
315,NA,1961,1961-12-31
325,8.20724591384763,1961,1961-12-31
339,NA,1961,1961-12-31
345,NA,1961,1961-12-31
350,11.1495373965282,1961,1961-12-31
352,NA,1961,1961-12-31
355,NA,1961,1961-12-31
360,NA,1961,1961-12-31
365,NA,1961,1961-12-31
375,7.60467047924432,1961,1961-12-31
380,5.6815373442638,1961,1961-12-31
385,6.27333551040729,1961,1961-12-31
390,6.37883247557396,1961,1961-12-31
395,-0.0846619462922149,1961,1961-12-31
432,NA,1961,1961-12-31
433,2.99344825499918,1961,1961-12-31
434,3.14128045871784,1961,1961-12-31
