gwcode,IT.NET.USER.ZS,IT.CEL.SETS.P2,date,datestr
2,0,0,1960-12-31,1960
20,0,0,1960-12-31,1960
40,0,0,1960-12-31,1960
41,0,0,1960-12-31,1960
42,0,0,1960-12-31,1960
70,0,0,1960-12-31,1960
90,0,0,1960-12-31,1960
91,0,0,1960-12-31,1960
92,0,0,1960-12-31,1960
93,0,0,1960-12-31,1960
94,0,0,1960-12-31,1960
95,0,0,1960-12-31,1960
100,0,0,1960-12-31,1960
101,0,0,1960-12-31,1960
130,0,0,1960-12-31,1960
135,0,0,1960-12-31,1960
140,0,0,1960-12-31,1960
145,0,0,1960-12-31,1960
150,0,0,1960-12-31,1960
155,0,0,1960-12-31,1960
160,0,0,1960-12-31,1960
165,0,0,1960-12-31,1960
200,0,0,1960-12-31,1960
205,0,0,1960-12-31,1960
210,0,0,1960-12-31,1960
211,0,0,1960-12-31,1960
212,0,0,1960-12-31,1960
220,0,0,1960-12-31,1960
225,0,0,1960-12-31,1960
230,0,0,1960-12-31,1960
235,0,0,1960-12-31,1960
260,NA,NA,1960-12-31,1960
265,NA,NA,1960-12-31,1960
290,0,0,1960-12-31,1960
305,0,0,1960-12-31,1960
310,0,0,1960-12-31,1960
315,0,0,1960-12-31,1960
325,0,0,1960-12-31,1960
339,0,0,1960-12-31,1960
345,NA,NA,1960-12-31,1960
350,0,0,1960-12-31,1960
352,0,0,1960-12-31,1960
355,0,0,1960-12-31,1960
360,0,0,1960-12-31,1960
365,0,0,1960-12-31,1960
375,0,0,1960-12-31,1960
380,0,0,1960-12-31,1960
385,0,0,1960-12-31,1960
390,0,0,1960-12-31,1960
395,0,0,1960-12-31,1960
432,0,0,1960-12-31,1960
433,0,0,1960-12-31,1960
434,0,0,1960-12-31,1960
435,0,0,1960-12-31,1960
436,0,0,1960-12-31,1960
437,0,0,1960-12-31,1960
438,0,0,1960-12-31,1960
439,0,0,1960-12-31,1960
450,0,0,1960-12-31,1960
452,0,0,1960-12-31,1960
461,0,0,1960-12-31,1960
471,0,0,1960-12-31,1960
475,0,0,1960-12-31,1960
481,0,0,1960-12-31,1960
482,0,0,1960-12-31,1960
483,0,0,1960-12-31,1960
484,0,0,1960-12-31,1960
490,0,0,1960-12-31,1960
520,0,0,1960-12-31,1960
530,0,0,1960-12-31,1960
560,0,0,1960-12-31,1960
580,0,0,1960-12-31,1960
600,0,0,1960-12-31,1960
616,0,0,1960-12-31,1960
620,0,0,1960-12-31,1960
625,0,0,1960-12-31,1960
630,0,0,1960-12-31,1960
640,0,0,1960-12-31,1960
645,0,0,1960-12-31,1960
651,0,0,1960-12-31,1960
652,0,0,1960-12-31,1960
660,0,0,1960-12-31,1960
663,0,0,1960-12-31,1960
666,0,0,1960-12-31,1960
670,0,0,1960-12-31,1960
678,0,0,1960-12-31,1960
698,0,0,1960-12-31,1960
700,0,0,1960-12-31,1960
710,0,0,1960-12-31,1960
712,0,0,1960-12-31,1960
713,NA,NA,1960-12-31,1960
731,0,0,1960-12-31,1960
732,0,0,1960-12-31,1960
740,0,0,1960-12-31,1960
750,0,0,1960-12-31,1960
760,0,0,1960-12-31,1960
770,0,0,1960-12-31,1960
775,0,0,1960-12-31,1960
780,0,0,1960-12-31,1960
790,0,0,1960-12-31,1960
800,0,0,1960-12-31,1960
811,0,0,1960-12-31,1960
812,0,0,1960-12-31,1960
816,NA,NA,1960-12-31,1960
817,NA,NA,1960-12-31,1960
820,0,0,1960-12-31,1960
840,0,0,1960-12-31,1960
850,0,0,1960-12-31,1960
900,0,0,1960-12-31,1960
920,0,0,1960-12-31,1960
221,0,0,1960-12-31,1960
223,0,0,1960-12-31,1960
331,0,0,1960-12-31,1960
232,0,0,1960-12-31,1960
2,0,0,1961-12-31,1961
20,0,0,1961-12-31,1961
40,0,0,1961-12-31,1961
41,0,0,1961-12-31,1961
42,0,0,1961-12-31,1961
70,0,0,1961-12-31,1961
90,0,0,1961-12-31,1961
91,0,0,1961-12-31,1961
92,0,0,1961-12-31,1961
93,0,0,1961-12-31,1961
94,0,0,1961-12-31,1961
95,0,0,1961-12-31,1961
100,0,0,1961-12-31,1961
101,0,0,1961-12-31,1961
130,0,0,1961-12-31,1961
135,0,0,1961-12-31,1961
140,0,0,1961-12-31,1961
145,0,0,1961-12-31,1961
150,0,0,1961-12-31,1961
155,0,0,1961-12-31,1961
160,0,0,1961-12-31,1961
165,0,0,1961-12-31,1961
200,0,0,1961-12-31,1961
205,0,0,1961-12-31,1961
210,0,0,1961-12-31,1961
211,0,0,1961-12-31,1961
212,0,0,1961-12-31,1961
220,0,0,1961-12-31,1961
225,0,0,1961-12-31,1961
230,0,0,1961-12-31,1961
235,0,0,1961-12-31,1961
260,NA,NA,1961-12-31,1961
265,NA,NA,1961-12-31,1961
290,0,0,1961-12-31,1961
305,0,0,1961-12-31,1961
310,0,0,1961-12-31,1961
315,0,0,1961-12-31,1961
325,0,0,1961-12-31,1961
339,0,0,1961-12-31,1961
345,NA,NA,1961-12-31,1961
350,0,0,1961-12-31,1961
352,0,0,1961-12-31,1961
355,0,0,1961-12-31,1961
360,0,0,1961-12-31,1961
365,0,0,1961-12-31,1961
375,0,0,1961-12-31,1961
380,0,0,1961-12-31,1961
385,0,0,1961-12-31,1961
390,0,0,1961-12-31,1961
395,0,0,1961-12-31,1961
432,0,0,1961-12-31,1961
433,0,0,1961-12-31,1961
434,0,0,1961-12-31,1961
435,0,0,1961-12-31,1961
436,0,0,1961-12-31,1961
437,0,0,1961-12-31,1961
438,0,0,1961-12-31,1961
439,0,0,1961-12-31,1961
450,0,0,1961-12-31,1961
451,0,0,1961-12-31,1961
452,0,0,1961-12-31,1961
461,0,0,1961-12-31,1961
471,0,0,1961-12-31,1961
475,0,0,1961-12-31,1961
481,0,0,1961-12-31,1961
482,0,0,1961-12-31,1961
483,0,0,1961-12-31,1961
484,0,0,1961-12-31,1961
490,0,0,1961-12-31,1961
510,0,0,1961-12-31,1961
520,0,0,1961-12-31,1961
530,0,0,1961-12-31,1961
560,0,0,1961-12-31,1961
580,0,0,1961-12-31,1961
600,0,0,1961-12-31,1961
616,0,0,1961-12-31,1961
620,0,0,1961-12-31,1961
625,0,0,1961-12-31,1961
630,0,0,1961-12-31,1961
640,0,0,1961-12-31,1961
645,0,0,1961-12-31,1961
651,0,0,1961-12-31,1961
652,0,0,1961-12-31,1961
660,0,0,1961-12-31,1961
663,0,0,1961-12-31,1961
666,0,0,1961-12-31,1961
