gwcode,year,date,NY.GDP.PETR.RT.ZS,NY.GDP.TOTL.RT.ZS
2,1995,1995-12-31,0,0.848775744295032
2,1996,1996-12-31,0,1.04371261122416
2,1997,1997-12-31,0,0.851170862762588
2,1998,1998-12-31,0,0.547534533620659
2,1999,1999-12-31,0,0.657469297737729
2,2000,2000-12-31,0,1.10234723554497
2,2001,2001-12-31,0,1.03794833727833
2,2002,2002-12-31,0,0.729708308721953
2,2003,2003-12-31,0,0.887209312271379
2,2004,2004-12-31,0,1.37426253534173
2,2005,2005-12-31,0,1.34457363356083
20,1995,1995-12-31,0,2.62950772475037
20,1996,1996-12-31,0,3.43281263977299
20,1997,1997-12-31,0,2.84574339937209
20,1998,1998-12-31,0,1.76067464187866
20,1999,1999-12-31,0,2.47518856196726
20,2000,2000-12-31,0,4.54193602279344
20,2001,2001-12-31,0,4.00650483317963
20,2002,2002-12-31,0,2.99957622710691
20,2003,2003-12-31,0,3.40238416399112
20,2004,2004-12-31,0,4.86281663969095
20,2005,2005-12-31,0,5.0027115422209
31,1995,1995-12-31,0,0.0939755068763486
31,1996,1996-12-31,0,0.0800968796029261
31,1997,1997-12-31,0,0.0519383330985751
31,1998,1998-12-31,0,0.0125349808283212
31,1999,1999-12-31,0,0.0114200525875684
31,2000,2000-12-31,0,0.00835559564454632
31,2001,2001-12-31,0,0.00858443834207747
31,2002,2002-12-31,0,0.0102431136168236
31,2003,2003-12-31,0,0.00908684225256064
31,2004,2004-12-31,0,0.0080674547185435
31,2005,2005-12-31,0,0.00789631199834358
40,1995,1995-12-31,0,0.698058092835177
40,1996,1996-12-31,0,0.856129663132962
40,1997,1997-12-31,0,0.757943948190754
40,1998,1998-12-31,0,0.379844400020582
40,1999,1999-12-31,0,0.555271454754275
40,2000,2000-12-31,0,1.77275389803695
40,2001,2001-12-31,0,0.937214568049225
40,2002,2002-12-31,0,1.36783943531348
40,2003,2003-12-31,0,2.0268334972506
40,2004,2004-12-31,0,2.8067315553509
40,2005,2005-12-31,0,3.13383516088202
41,1995,1995-12-31,0,1.22519462494497
41,1996,1996-12-31,0,0.942846828569853
41,1997,1997-12-31,0,0.993748300618704
41,1998,1998-12-31,0,0.778425983964812
41,1999,1999-12-31,0,0.619397719322079
41,2000,2000-12-31,0,0.60219988216405
41,2001,2001-12-31,0,0.674835080552995
41,2002,2002-12-31,0,0.692006970696808
41,2003,2003-12-31,0,0.845124102569404
41,2004,2004-12-31,0,0.708210485644867
41,2005,2005-12-31,0,0.579783470974728
42,1995,1995-12-31,0,0.980524065971952
42,1996,1996-12-31,0,0.700989224850768
42,1997,1997-12-31,0,0.600732020636262
42,1998,1998-12-31,0,0.0582608035507981
42,1999,1999-12-31,0,0.322543386968899
42,2000,2000-12-31,0,0.73770482956835
42,2001,2001-12-31,0,0.299397016552646
42,2002,2002-12-31,0,0.404816912548229
42,2003,2003-12-31,0,1.15222940570151
42,2004,2004-12-31,0,1.94542334753302
42,2005,2005-12-31,0,1.59321888228119
51,1995,1995-12-31,0,2.63814622053145
51,1996,1996-12-31,0,3.13893679979078
51,1997,1997-12-31,0,2.52258026449932
51,1998,1998-12-31,0,2.16789219127552
51,1999,1999-12-31,0,1.74153469137657
51,2000,2000-12-31,0,1.76228789431086
51,2001,2001-12-31,0,1.96608848799024
51,2002,2002-12-31,0,1.53495420155181
51,2003,2003-12-31,0,1.41309577270998
51,2004,2004-12-31,0,1.72621595916129
51,2005,2005-12-31,0,1.86601838714769
52,1995,1995-12-31,7.78784049962513,9.00748573437643
52,1996,1996-12-31,9.6048244904943,11.3258365472566
52,1997,1997-12-31,7.78084512157959,9.74899073762875
52,1998,1998-12-31,3.11475800976782,4.38740285324135
52,1999,1999-12-31,5.97379127194405,7.26955615039469
52,2000,2000-12-31,9.6306747465934,12.6573397093184
52,2001,2001-12-31,5.91821650972032,9.37932888216096
52,2002,2002-12-31,7.2578291621321,10.5906840414372
52,2003,2003-12-31,7.21674636072021,11.135481675826
52,2004,2004-12-31,7.60675897424447,12.9933375812039
52,2005,2005-12-31,11.4227194386295,18.821873662552
53,1995,1995-12-31,0,0.204726981831329
53,1996,1996-12-31,0,0.202749921535284
53,1997,1997-12-31,0,0.161906696996411
53,1998,1998-12-31,0,0.102611072542475
53,1999,1999-12-31,0,0.225647644691802
53,2000,2000-12-31,0,0.343780711023072
53,2001,2001-12-31,0,0.208600248473884
53,2002,2002-12-31,0,0.176296851647526
53,2003,2003-12-31,0,0.203976396950415
53,2004,2004-12-31,0,0.257637347868755
53,2005,2005-12-31,0,0.360166811659431
54,1995,1995-12-31,0,0.0493633809569159
54,1996,1996-12-31,0,0.0341365681926974
54,1997,1997-12-31,0,0.0467169726333325
54,1998,1998-12-31,0,0.0383603674797897
54,1999,1999-12-31,0,0.0315497921032706
54,2000,2000-12-31,0,0.024740935997004
54,2001,2001-12-31,0,0.0240666160060704
54,2002,2002-12-31,0,0.0218439826519193
54,2003,2003-12-31,0,0.0223689970853294
54,2004,2004-12-31,0,0.0215836460980622
54,2005,2005-12-31,0,0.0208459674833131
55,1995,1995-12-31,0,0
55,1996,1996-12-31,0,0
55,1997,1997-12-31,0,0
55,1998,1998-12-31,0,0
55,1999,1999-12-31,0,0
55,2000,2000-12-31,0,0
55,2001,2001-12-31,0,0
55,2002,2002-12-31,0,0
55,2003,2003-12-31,0,0
55,2004,2004-12-31,0,0
55,2005,2005-12-31,0,0
56,1995,1995-12-31,0,0.0217786332632493
56,1996,1996-12-31,0,0.015999484532572
56,1997,1997-12-31,0,0.0208482609833645
56,1998,1998-12-31,0,0.0166802422932159
56,1999,1999-12-31,0,0.0136151604860764
56,2000,2000-12-31,0,0.0123985980615582
56,2001,2001-12-31,0,0.0131049056573152
56,2002,2002-12-31,0,0.0117784743139731
56,2003,2003-12-31,0,0.0116435085974425
56,2004,2004-12-31,0,0.0110604840637065
56,2005,2005-12-31,0,0.0100437838796645
57,1995,1995-12-31,0,0.0368254426491843
57,1996,1996-12-31,0,0.025598631190834
57,1997,1997-12-31,0,0.0343912439839842
57,1998,1998-12-31,0,0.0273077820700886
57,1999,1999-12-31,0,0.0220430281062195
57,2000,2000-12-31,0,0.0213080850465164
57,2001,2001-12-31,0,0.019390927466502
57,2002,2002-12-31,0,0.0160307041463871
57,2003,2003-12-31,0,0.0162169796614912
57,2004,2004-12-31,0,0.0153750856469093
