gwcode,NY.GDP.PCAP.KD,NY.GDP.MKTP.KD,SP.POP.TOTL,NY.GDP.PCAP.KD_ln,NY.GDP.MKTP.KD_ln,SP.POP.TOTL_ln,datestr
2,17036.8851695882,3078071080474.67,180671e3,9.743135988462265,28.755324244150287,19.01218825568802,1960
20,17664.204797776358,316348402701.22,17909009,9.779295543086624,26.480109983375996,16.70081444028937,1960
40,NA,NA,7141135,NA,NA,15.78138228526783,1960
41,NA,NA,3866159,NA,NA,15.167772065685341,1960
42,1276.4045699232402,4204530262.31909,3294042,7.151802474719867,22.159428414813675,15.00762594009381,1960
70,3686.3950131939673,140724856109.908,38174112,8.21240429830289,25.670072445804653,17.457668147501764,1960
90,1461.7633854238668,6155115789.88339,4210747,7.287398784136389,22.540549408734616,15.253150624598229,1960
91,1095.990405333186,2234326591.95723,2038637,6.9994137132116,21.52720571847393,14.52779200526233,1960
92,NA,NA,2762899,NA,NA,14.831791048767643,1960
93,1527.6707495985968,2711155751.64188,1774699,7.331499468496354,21.720640857543334,14.38914138904698,1960
94,2856.5311778076953,3807870321.26477,1333040,7.957363292793451,22.060335899005956,14.102972606212505,1960
95,2119.382376879297,2401092801.79647,1132921,7.658879993560037,21.599189804749066,13.940309811189032,1960
100,2213.2228261664063,36474759839.5648,16480383,7.702205024619064,24.319886347085873,16.61768132246681,1960
101,12449.499417236755,101424166978.817,8146847,9.42943569363365,25.342577232831093,15.913141539197445,1960
130,2244.446381026344,10202243247.2743,4545550,7.716214168886224,23.045873459259777,15.329659290373552,1960
135,2684.2395809906957,27007516807.7316,10061515,7.895152756772092,24.019381064490926,16.124228307718834,1960
140,3424.997089414869,247310662283.767,72207554,8.138855900890087,26.233911125319,18.095055224428915,1960
145,1304.6987620300076,4818838337.92097,3693449,7.173727459417115,22.29579872723156,15.122071267814444,1960
150,1025.516598828704,1951429897.99617,1902875,6.932951763465015,21.39182822182657,14.458876458361555,1960
155,3806.805728821797,29375692257.1695,7716625,8.244545725088775,24.10343337533457,15.858887650245796,1960
160,5605.191722138359,115573868508.15,20619075,8.631448540476725,25.473175716663757,16.84172717618703,1960
165,5474.621528444753,13898153417.8078,2538651,8.607878425070602,23.3550218206183,14.747143395547699,1960
200,13827.449638570228,724558361061.08,524e5,9.534410999741082,27.30882814903235,17.77441714929127,1960
205,NA,NA,2828600,NA,NA,14.855292447568537,1960
210,16354.540031088838,187858566511.846,11486631,9.702260815522507,25.958955210864303,16.256694395341796,1960
211,13193.314941360502,120764863189.279,9153489,9.487465536452142,25.51711121249851,16.029645676046368,1960
212,27085.591034598976,8504063017.13304,313970,10.206757169327016,22.86380988825176,12.657052718924746,1960
220,12991.267715789045,608176285777.397,46814237,9.47203269657256,27.13373062059985,17.661697924027287,1960
221,NA,NA,22452,NA,NA,10.01913497606209,1960
223,NA,NA,16495,NA,NA,9.710812583662682,1960
225,NA,NA,5327827,NA,NA,15.488454020705232,1960
230,7359.967789391529,224147819025.919,30455e3,8.903810835271976,26.1355715775247,17.23176074225272,1960
232,NA,NA,13411,NA,NA,9.50383054471094,1960
235,4506.050425952842,39913314954.7693,8857716,8.413176311775743,24.409975813313633,15.996799501537891,1960
260,NA,NA,NA,NA,NA,NA,1960
265,NA,NA,NA,NA,NA,NA,1960
290,NA,NA,29637450,NA,NA,17.204549322302498,1960
305,13031.031589824874,91836703339.5228,7047539,9.475088837347698,25.243277873180052,15.768189035832354,1960
310,NA,NA,9983967,NA,NA,16.11649106429742,1960
315,NA,NA,9602006,NA,NA,16.077482592942648,1960
325,10867.703659365774,545555463389.064,50199700,9.293550702909645,27.025070311458126,17.73151960854848,1960
331,NA,NA,15397,NA,NA,9.641927964229918,1960
339,NA,NA,1608800,NA,NA,14.29099911744058,1960
345,NA,NA,NA,NA,NA,NA,1960
350,6779.886782955918,56488152206.7234,8331725,8.821715682115949,24.757296757653418,15.935581075537469,1960
352,NA,NA,572930,NA,NA,13.258518824185376,1960
355,NA,NA,7867374,NA,NA,15.878234892539831,1960
360,NA,NA,18406905,NA,NA,16.728236423921516,1960
365,NA,NA,119897e3,NA,NA,18.602143598834008,1960
375,12195.328064267951,54020839834.6355,4429634,9.408808211827168,24.712635731925232,15.303827520098062,1960
380,18142.87587603826,135793184782.845,7484656,9.806033248922423,25.634398865118328,15.828365616195903,1960
385,23183.55983193205,83025868628.9485,3581239,10.051198678524987,25.14241806641223,15.091219387887241,1960
390,21075.59951600953,96517878770.3158,4579603,9.955871229251198,25.292994100361824,15.337122871110626,1960
395,11700.552414146912,2054312789.56143,175574,9.367391334555611,21.44320721999492,12.075815885439308,1960
432,NA,NA,5263733,NA,NA,15.476351028816394,1960
433,1080.3233526676768,3464325830.84372,3206749,6.985015675925063,21.965783885244903,14.98076820931984,1960
434,520.4041799849854,1265426252.94345,2431622,6.254605778860099,20.95867486121659,14.70406908235649,1960
435,791.0853499693696,678884132.612514,858168,6.673405863298643,20.335961026797406,13.662555163498764,1960
436,NA,NA,3388764,NA,NA,15.035975811103336,1960
437,1205.260632631571,4289508128.40817,3558988,7.094451115177183,22.179437907930193,15.084986792753012,1960
438,NA,NA,3577409,NA,NA,15.09014935333171,1960
439,238.85456236099606,1153497471.75521,4829288,5.475854841018399,20.866064443772654,15.390209602754256,1960
450,1273.4840957971478,1426700787.81479,1120313,7.1495118057644955,21.07863047427862,13.929118668514121,1960
452,1053.2672181370212,7006635822.73907,6652287,6.9596522483514445,22.670123511634507,15.710471263283061,1960
461,349.0495545398962,551677358.594515,1580513,5.855213902208451,20.12847393805761,14.273260035849157,1960
471,956.4560409664858,4950872798.26151,5176268,6.86323482960829,22.32282972086507,15.459594891256781,1960
475,1299.9492485505477,58676864790.6159,45137812,7.170080503111063,24.795311359867707,17.625230856756644,1960
481,4377.376130263569,2185116126.20949,499184,8.384204766846693,21.504934811088344,13.12073004424165,1960
482,601.852493471182,904890038.75387,1503508,6.400012387828181,20.623323990142605,14.223311602314423,1960
483,696.2769275188408,2089939951.70206,3001593,6.545747465565576,21.460401171267346,14.91465370570177,1960
484,1429.997975378753,1483222500.02235,1037220,7.265428307433897,21.117482922578784,13.852054615144887,1960
490,988.981571682995,15080239239.3968,15248251,6.896675698165991,23.436651064081865,16.539975365915872,1960
520,NA,NA,2755947,NA,NA,14.829271680161542,1960
530,NA,NA,22151278,NA,NA,16.913405750307913,1960
560,4542.99309790581,79031575209.6364,17396367,8.421341346477115,25.09311329575811,16.671771949280995,1960
580,716.0817711593464,3651568049.64215,5099373,6.573794365969504,22.018422514929703,15.444628148960197,1960
