gwcode,FP.CPI.TOTL.ZG,NY.GDP.DEFL.KD.ZG,datestr,date
2,1.50992942721867,NA,1960,1960-12-31
20,1.31175468510147,NA,1960,1960-12-31
40,NA,NA,1960,1960-12-31
41,-5.03004159593691,NA,1960,1960-12-31
42,-3.56219179976045,NA,1960,1960-12-31
70,4.9275188690308,NA,1960,1960-12-31
90,-1.19069315346012,NA,1960,1960-12-31
91,-1.74623815710731,NA,1960,1960-12-31
92,-0.0389741990031225,NA,1960,1960-12-31
93,NA,NA,1960,1960-12-31
94,0.790205817959817,NA,1960,1960-12-31
95,0.0511770724156803,NA,1960,1960-12-31
100,5.81407628204979,NA,1960,1960-12-31
101,3.4239448527021,NA,1960,1960-12-31
130,1.67659912611318,NA,1960,1960-12-31
135,8.66445916271912,NA,1960,1960-12-31
140,NA,NA,1960,1960-12-31
145,11.5331525756196,NA,1960,1960-12-31
150,8.18181818181818,NA,1960,1960-12-31
155,11.5638898907352,NA,1960,1960-12-31
160,27.2979928262695,NA,1960,1960-12-31
165,38.5040374002643,NA,1960,1960-12-31
200,NA,NA,1960,1960-12-31
205,0.450837269431828,NA,1960,1960-12-31
210,2.32394366197183,NA,1960,1960-12-31
211,0.30994646520583,NA,1960,1960-12-31
212,0.449619699131422,NA,1960,1960-12-31
220,4.13926499102168,NA,1960,1960-12-31
225,1.43851722085524,NA,1960,1960-12-31
230,1.20923008670474,NA,1960,1960-12-31
235,3.02286328058547,NA,1960,1960-12-31
260,NA,NA,1960,1960-12-31
265,NA,NA,1960,1960-12-31
290,NA,NA,1960,1960-12-31
305,1.94574985572766,NA,1960,1960-12-31
310,NA,NA,1960,1960-12-31
315,NA,NA,1960,1960-12-31
325,1.36986301369865,NA,1960,1960-12-31
339,NA,NA,1960,1960-12-31
345,NA,NA,1960,1960-12-31
350,1.58940397335062,NA,1960,1960-12-31
352,0.827300930713539,NA,1960,1960-12-31
355,NA,NA,1960,1960-12-31
360,NA,NA,1960,1960-12-31
365,NA,NA,1960,1960-12-31
375,3.23485415116473,NA,1960,1960-12-31
380,4.14177944325745,NA,1960,1960-12-31
385,0.392670157594838,NA,1960,1960-12-31
390,1.25523012552921,NA,1960,1960-12-31
395,4.31472081218273,NA,1960,1960-12-31
432,NA,NA,1960,1960-12-31
433,NA,NA,1960,1960-12-31
434,NA,NA,1960,1960-12-31
435,NA,NA,1960,1960-12-31
436,NA,NA,1960,1960-12-31
