gwcode,year,SP.DYN.IMRT.IN
2,1960,25.9
20,1960,27.8
40,1960,NA
41,1960,191
42,1960,102
70,1960,104
90,1960,146.8
91,1960,141.2
92,1960,125.5
93,1960,133
94,1960,NA
95,1960,66
100,1960,94.6
101,1960,59.6
130,1960,120.8
135,1960,135.6
140,1960,128.8
145,1960,175
150,1960,61.3
155,1960,127.7
160,1960,NA
165,1960,57.7
200,1960,22.9
205,1960,30.3
210,1960,16.5
211,1960,29.4
212,1960,30.5
220,1960,23.6
225,1960,21.7
230,1960,38.4
235,1960,84.3
260,1960,NA
265,1960,NA
290,1960,57.6
305,1960,37.2
310,1960,47.6
315,1960,NA
325,1960,44.1
339,1960,NA
345,1960,NA
350,1960,38.9
352,1960,NA
355,1960,NA
360,1960,NA
365,1960,NA
375,1960,21.9
380,1960,16.3
385,1960,18.4
390,1960,21.3
395,1960,17.5
432,1960,NA
433,1960,129.6
434,1960,189.7
435,1960,130
436,1960,NA
437,1960,212.1
438,1960,210.8
439,1960,156
450,1960,211.5
452,1960,124.2
461,1960,161.2
471,1960,164
475,1960,NA
481,1960,NA
482,1960,164.6
483,1960,NA
484,1960,110.1
490,1960,NA
520,1960,NA
530,1960,NA
560,1960,NA
580,1960,NA
600,1960,143.9
616,1960,NA
620,1960,163
625,1960,106.7
630,1960,NA
640,1960,170.9
645,1960,130.9
651,1960,209.9
652,1960,117.8
660,1960,57.5
663,1960,107.7
666,1960,NA
670,1960,NA
678,1960,NA
698,1960,NA
700,1960,245.7
710,1960,NA
712,1960,NA
713,1960,NA
731,1960,NA
732,1960,81.4
740,1960,30.4
750,1960,163.8
760,1960,NA
770,1960,190.7
775,1960,NA
780,1960,71.6
790,1960,216.8
800,1960,101.5
811,1960,NA
812,1960,NA
816,1960,NA
817,1960,NA
820,1960,67.7
840,1960,67
850,1960,148.1
900,1960,20.4
920,1960,22.6
221,1960,NA
223,1960,NA
331,1960,NA
232,1960,NA
2,1961,25.4
20,1961,26.9
40,1961,NA
41,1961,187.9
42,1961,101.1
70,1961,100.1
90,1961,143.9
91,1961,136.8
92,1961,123.3
93,1961,131.9
94,1961,NA
95,1961,64.3
100,1961,91.7
101,1961,57.8
130,1961,117.7
135,1961,132.4
140,1961,125.6
145,1961,171.8
150,1961,60.8
155,1961,121.1
160,1961,NA
165,1961,56.4
200,1961,22.5
205,1961,29.1
210,1961,16
211,1961,28.1
212,1961,28.9
220,1961,22.4
225,1961,21.2
230,1961,35.9
235,1961,82.2
260,1961,NA
265,1961,NA
290,1961,53
305,1961,34.9
310,1961,45.4
315,1961,NA
325,1961,42.6
339,1961,NA
345,1961,NA
350,1961,38.2
352,1961,NA
355,1961,NA
360,1961,NA
365,1961,NA
375,1961,20.6
380,1961,16
385,1961,17.9
390,1961,20.8
395,1961,17.2
432,1961,NA
433,1961,129.4
434,1961,186.5
435,1961,127
436,1961,NA
437,1961,206.5
438,1961,209
439,1961,154.3
450,1961,211.4
451,1961,219.3
452,1961,122.8
461,1961,158.2
471,1961,160.6
475,1961,NA
481,1961,NA
482,1961,162
483,1961,NA
484,1961,108
490,1961,NA
510,1961,142.3
520,1961,NA
530,1961,NA
560,1961,NA
580,1961,NA
600,1961,141.6
616,1961,NA
620,1961,154.8
625,1961,105.1
630,1961,NA
640,1961,165.8
645,1961,123.8
651,1961,203.1
652,1961,112.4
660,1961,56
663,1961,102
666,1961,NA
670,1961,NA
678,1961,NA
690,1961,94.9
698,1961,NA
700,1961,241.2
710,1961,NA
712,1961,NA
713,1961,NA
731,1961,NA
732,1961,77.7
740,1961,27.9
750,1961,161.3
760,1961,NA
770,1961,184.2
775,1961,NA
780,1961,69
790,1961,214
800,1961,98.3
811,1961,NA
812,1961,NA
816,1961,NA
817,1961,NA
820,1961,63.7
840,1961,65.1
850,1961,144.5
900,1961,19.9
920,1961,21.7
221,1961,NA
223,1961,NA
331,1961,NA
232,1961,NA
2,1962,24.9
20,1962,26
40,1962,NA
41,1962,185
42,1962,100
51,1962,57.5
52,1962,52.6
70,1962,96.6
90,1962,141
91,1962,132.6
92,1962,121.1
93,1962,130.7
94,1962,NA
95,1962,62.6
100,1962,88.9
101,1962,56.4
130,1962,114.8
135,1962,129
140,1962,122.4
145,1962,168.6
150,1962,60.3
155,1962,116.5
160,1962,NA
165,1962,55
200,1962,22
205,1962,28
210,1962,15.6
211,1962,27
212,1962,27.6
220,1962,21.3
225,1962,20.8
230,1962,33.7
235,1962,78.9
260,1962,NA
265,1962,NA
290,1962,49.7
305,1962,32.9
310,1962,44
315,1962,NA
325,1962,40.9
339,1962,NA
345,1962,NA
350,1962,37.4
352,1962,NA
355,1962,NA
360,1962,NA
365,1962,NA
375,1962,19.5
380,1962,15.6
385,1962,17.5
390,1962,20.2
395,1962,16.9
432,1962,NA
433,1962,129.4
434,1962,182.9
435,1962,124.2
436,1962,NA
437,1962,201
438,1962,207.5
439,1962,152.5
450,1962,210.8
451,1962,216.4
452,1962,121.7
461,1962,155.3
471,1962,158.1
475,1962,NA
481,1962,NA
482,1962,159.3
483,1962,NA
484,1962,105.8
490,1962,NA
500,1962,127.6
510,1962,141
516,1962,NA
517,1962,126.3
520,1962,NA
530,1962,NA
560,1962,NA
580,1962,NA
600,1962,139.4
615,1962,147.6
616,1962,178.8
620,1962,147.1
625,1962,103.6
630,1962,NA
640,1962,160.9
645,1962,117.5
651,1962,196.1
652,1962,107.5
660,1962,54.7
663,1962,96.6
666,1962,NA
670,1962,NA
678,1962,NA
690,1962,88.8
698,1962,227.8
700,1962,236.9
710,1962,NA
712,1962,NA
713,1962,NA
731,1962,NA
732,1962,74.5
740,1962,25.5
750,1962,158.9
760,1962,NA
770,1962,178
775,1962,NA
780,1962,66.6
790,1962,210.7
800,1962,95.2
811,1962,NA
812,1962,NA
816,1962,NA
817,1962,NA
820,1962,60
840,1962,63.6
850,1962,140.9
900,1962,19.5
920,1962,20.9
221,1962,NA
223,1962,NA
331,1962,NA
232,1962,NA
990,1962,NA
2,1963,24.4
20,1963,25
40,1963,41.7
41,1963,182.1
42,1963,98.7
51,1963,55.6
52,1963,51.1
70,1963,93.5
90,1963,138.2
91,1963,128.4
92,1963,119.1
93,1963,129.4
94,1963,NA
95,1963,61
100,1963,86.3
101,1963,55.1
130,1963,112
135,1963,125.4
140,1963,119.6
145,1963,165.7
150,1963,60
155,1963,112
160,1963,NA
165,1963,53.6
200,1963,21.4
205,1963,27
210,1963,15.2
211,1963,25.9
212,1963,26.2
220,1963,20.3
225,1963,20.1
230,1963,31.9
235,1963,74.6
260,1963,NA
265,1963,NA
290,1963,46.7
305,1963,31.2
310,1963,42.8
315,1963,NA
325,1963,39.2
339,1963,NA
345,1963,NA
350,1963,36.3
352,1963,NA
355,1963,33
360,1963,51.3
365,1963,NA
375,1963,18.4
380,1963,15
385,1963,17.1
390,1963,19.5
395,1963,16.4
432,1963,213.4
433,1963,129.6
434,1963,178.8
435,1963,121.4
436,1963,NA
437,1963,195.7
438,1963,205.7
439,1963,151
