outcome,model_name,AIC,BIC,MAE,RMSE
criminal,mdl1,7933.135754714095,7943.970915518924,2.2026085474053927,4.144093344625573
criminal,mdl2,7645.299830189757,7672.166701739307,2.2163590431848132,4.150111680302111
criminal,mdl3,7646.5479719316845,7673.414843481235,2.203673772921463,4.133212414120332
criminal,mdl4,7653.233888334853,7690.847508504224,2.206264038197847,4.127195191293019
dissident,mdl1,7880.823955222144,7891.659116026973,2.2924857351194046,4.60076755128079
dissident,mdl2,7270.276939284777,7297.143810834327,2.1741518428078392,4.2318976053711745
dissident,mdl3,7281.727283956838,7308.594155506388,2.161512038551654,4.220488413102694
dissident,mdl4,7298.702718914089,7336.31633908346,2.1638247375506965,4.215126748808081
marginalized,mdl1,8703.525365115622,8714.36052592045,2.6359831847724897,6.213274866660417
marginalized,mdl2,8269.865995454735,8296.732867004284,2.584451165986224,6.123872907144314
marginalized,mdl3,8276.495251665616,8303.362123215165,2.5702740651839777,6.037534393693214
marginalized,mdl4,8281.94589903277,8319.55951920214,2.5707554620068613,6.071493670008902
