model_name,outcome,MAE,RMSE
mdl1,criminal,2.225898247143566,4.1621579905753565
mdl2,criminal,2.2286449880856827,4.150282922723074
mdl3,criminal,2.22785193884879,4.1546020563152855
mdl4,criminal,2.2288038477163417,4.150433640948587
mdl1,dissident,2.296825488499135,4.624501576284797
mdl2,dissident,2.1858674624203887,4.2733669947739275
mdl3,dissident,2.1817285110040667,4.283291526507966
mdl4,dissident,2.1857451039311457,4.272027095592188
mdl1,marginalized,2.6481718031105745,6.2502281203771615
mdl2,marginalized,2.6002471650931653,6.15011988840025
mdl3,marginalized,2.5996682655893655,6.1399575278791705
mdl4,marginalized,2.60035124301437,6.149822481917101
