gwcode,year,date,itt_alleg_vtall,itt_alleg_vtcriminal,itt_alleg_vtdissident,itt_alleg_vtmarginalized,itt_alleg_vtpow,itt_alleg_vtstateagent,itt_alleg_vtunst,itt_LoTUnknown,itt_LoTCriminal,itt_LoTDissident,itt_LoTMarginalized,itt_LoTStateAgent,itt_RstrctAccess,NY.GDP.MKTP.KD,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.KD,NY.GDP.PCAP.KD.ZG,pop,ln_NY.GDP.MKTP.KD,norm_ln_NY.GDP.MKTP.KD,norm_ln_pop,v2x_elecoff,v2xel_frefair,v2asuffrage,v2x_jucon,v2xlg_legcon,v2clacjust,v2clsocgrp,v2pepwrses,v2pepwrsoc,regime,dd_democracy,LJI,post.sd,ht_colonial,mrs_legalsys,epr_groups,epr_elf,epr_excluded_groups_count,epr_excluded_group_pop,epr_inpower_groups_count,epr_inpower_groups_pop,epr_regaut_groups_count,epr_regaut_group_pop,norm_ln1p_epr_excluded_groups_count,norm_sqrt_epr_excluded_group_pop,internal_confl,internal_confl_major,internal_confl_minor,internal_confl_part,internal_confl_part_major,internal_confl_part_minor,war,war_major,war_minor,any_conflict,any_conflict_major,any_conflict_minor,ext_conf,ext_conf_major,ext_conf_minor,gtd_events,gtd_killed,ccp_torture,ccp_prerel,ccp_habcorp,ccp_dueproc,ccp_speedtri,gmfd_functionallyfree,igo_n,igo_total,igo_p,NE.TRD.GNFS.ZS,norm_ln_NE.TRD.GNFS.ZS,hro_n,hro_secloc,year_poly1,year_poly2,yy_Unknown,yy_Criminal,yy_Dissident,yy_Marginalized,yy_StateAgent
2,1995,1995-01-01,119,70,4,29,0,1,15,Widespread,Widespread,No Allegations,Several,No Allegations,1,10299.0246183,2.7189757887819206,38767.8583155346,1.590986553813789,265658.849,9.239804472481232,2.7247801529397586,2.236821372568531,1,0.907122067824137,1,0.9353600811128492,0.9463728952437187,1.8107791954547183,0.5939000147061385,0.7857300808576234,1.5833923290648675,Presidential democracy,1,0.9904,0.009,Never colonized,Common,6,0.50985648,5,0.297,1,0.691,1,0.0078,1.1376208750972803,0.9982617234512904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,178,0,1,1,1,1,1,90,323,0.2786377708978328,22.4533816490568,-1.6293987719250917,83,70,-0.038798205722455494,0.04167229034379109,TRUE,TRUE,FALSE,FALSE,FALSE
2,1996,1996-01-01,107,69,1,30,0,0,7,Several,Widespread,No Allegations,Several,No Allegations,1,10689.9633606,3.7958812294258792,39768.7023532855,2.581633552219873,268803.424,9.277060576567006,2.7427153761979737,2.245155116236636,1,0.9084917889841094,1,0.9353600811128492,0.9463728952437187,1.8107791954547183,0.5939000147061385,0.7857300808576234,1.5833923290648675,Presidential democracy,1,0.9908,0.0084,Never colonized,Common,6,0.50985648,5,0.297,1,0.691,1,0.0078,1.1376208750972803,0.9982617234512904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,2,0,1,1,1,1,1,89,325,0.27384615384615385,22.6870719902412,-1.6134719926062804,90,71,-0.031051591916496937,0.016682924300450066,FALSE,TRUE,FALSE,FALSE,FALSE
2,1997,1997-01-01,191,99,9,78,0,0,5,Several,Widespread,No Allegations,Routinely,No Allegations,1,11169.6248487,4.487026493167305,41044.1919972007,3.207269959639065,272136.551,9.320953305885988,2.763845494847415,2.2538827900191203,1,0.9084917889841094,1,0.9353600811128492,0.9463728952437187,1.8107791954547183,0.5939000147061385,0.7857300808576234,1.5833923290648675,Presidential democracy,1,0.9909,0.0082,Never colonized,Common,6,0.50985648,5,0.297,1,0.691,1,0.0078,1.1376208750972803,0.9982617234512904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,2,0,1,1,1,1,1,90,328,0.27439024390243905,23.4283210752957,-1.5640175966810896,97,71,-0.02330497811053837,-0.002756353501217133,FALSE,TRUE,FALSE,FALSE,FALSE
2,1998,1998-01-01,159,91,1,55,0,0,12,Systematic,Systematic,No Allegations,Systematic,No Allegations,1,11666.6632094,4.449910963284043,42340.68736514041,3.158779122824811,275542.603,9.364490755466255,2.78480458054563,2.262691673916402,1,0.9100700368086335,1,0.9353600811128492,0.9463728952437187,1.8107791954547183,0.5939000147061385,0.7857300808576234,1.5833923290648675,Presidential democracy,1,0.9909,0.0082,Never colonized,Common,6,0.50985648,5,0.297,1,0.691,1,0.0078,1.1376208750972803,0.9982617234512904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,4,0,1,1,1,1,1,91,337,0.27002967359050445,22.8258909297017,-1.6040885068536734,94,71,-0.01555836430457982,-0.01664554306119519,TRUE,TRUE,FALSE,TRUE,FALSE
2,1999,1999-01-01,73,41,2,15,0,0,15,Systematic,Widespread,No Allegations,Widespread,No Allegations,0,12213.2696684,4.685199608398666,43796.7795421824,3.438990407701331,278862.277,9.410278317366195,2.8068468784529506,2.271173000896206,1,0.9100700368086335,1,0.9353600811128492,0.9463728952437187,1.8107791954547183,0.5939000147061385,0.7857300808576234,1.5833923290648675,Presidential democracy,1,0.9903,0.0089,Never colonized,Common,6,0.50985648,5,0.297,1,0.691,1,0.0078,1.1376208750972803,0.9982617234512904,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,53,20,0,1,1,1,1,1,89,330,0.2696969696969697,23.2734726597002,-1.5742181571661642,91,71,-0.007811750498621271,-0.02498464437948353,TRUE,TRUE,FALSE,TRUE,FALSE
2,2000,2000-01-01,42,21,0,20,0,0,1,Widespread,Systematic,No Allegations,Several,No Allegations,0,12713.0582134,4.092176448810656,45084.5200673922,2.9402630482671217,281982.778,9.450384949984711,2.826154356456883,2.2790539066950144,1,0.8275633744634108,1,0.953504620919962,0.9463728952437187,1.8107791954547183,0.5939000147061385,0.39488016951459837,1.5833923290648675,Presidential democracy,1,0.9898,0.0092,Never colonized,Common,6,0.50985648,5,0.297,1,0.691,1,0.0078,1.1376208750972803,0.9982617234512904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,1,1,1,1,1,88,330,0.26666666666666666,25.0436352248928,-1.4614579460645971,110,71,-6.513669266272089e-5,-0.027773657456082283,TRUE,TRUE,FALSE,FALSE,FALSE
2,2001,2001-01-01,41,15,4,9,0,0,13,Widespread,Systematic,Several,Several,No Allegations,0,12837.1353521,0.9759818339321253,45065.92100924299,-0.04125375654749354,284852.391,9.460097448933679,2.8308299885799806,2.2862245889249673,1,0.8145013761920025,1,0.9444855158845673,0.9383605275571345,1.8107791954547183,0.6791405124621862,0.22505856385044282,1.1160780045337488,Presidential democracy,1,0.989,0.0099,Never colonized,Common,6,0.50985648,5,0.297,1,0.691,1,0.0078,1.1376208750972803,0.9982617234512904,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,41,3008,0,1,1,1,1,1,89,323,0.2755417956656347,22.8429578317059,-1.6029388085504879,109,71,0.007681477113295828,-0.025012582290991466,TRUE,TRUE,FALSE,FALSE,FALSE
2,2002,2002-01-01,72,25,13,9,0,0,25,Infrequent,Systematic,Systematic,No Allegations,No Allegations,0,13066.4229809,1.7861276874555299,45447.34540148186,0.8463699036809668,287506.847,9.477801087515623,2.8393525842254856,2.2927936026845903,1,0.8766258295308822,1,0.9444855158845673,0.9383605275571345,1.8107791954547183,0.6791405124621862,0.22505856385044282,1.1160780045337488,Presidential democracy,1,0.9881,0.0107,Never colonized,Common,6,0.50985648,5,0.297,1,0.691,1,0.0078,1.1376208750972803,0.9982617234512904,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,33,4,0,1,1,1,1,1,88,327,0.2691131498470948,22.1542717779622,-1.650027721580653,108,71,0.015428090919254378,-0.016701418884211068,FALSE,TRUE,TRUE,FALSE,FALSE
2,2003,2003-01-01,94,31,20,14,1,0,28,Widespread,Systematic,Systematic,No Allegations,Systematic,0,13433.1681995,2.8067759564809296,46316.85773317924,1.9132301876294524,290027.624,9.505482166349916,2.852678355695801,2.29897589446718,1,0.8766258295308822,1,0.9444855158845673,0.9383605275571345,1.8107791954547183,0.6791405124621862,0.45864547271758094,1.1160780045337488,Presidential democracy,1,0.9875,0.0109,Never colonized,Common,6,0.50985648,5,0.297,1,0.691,1,0.0078,1.1376208750972803,0.9982617234512904,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,33,0,0,1,1,1,1,1,87,327,0.26605504587155965,22.4771005698784,-1.6277747079790528,107,71,0.023174704725212932,-0.0028401672357411,TRUE,TRUE,TRUE,FALSE,TRUE
2,2004,2004-01-01,93,34,13,18,1,0,27,Widespread,Systematic,Systematic,Routinely,Systematic,0,13941.7134041,3.7857428496944503,47657.57031728151,2.894653587740793,292539.324,9.542640589537543,2.870566555016347,2.3050827105271647,1,0.8847272403740527,1,0.9444855158845673,0.9383605275571345,1.8107791954547183,0.6791405124621862,0.45864547271758094,1.1160780045337488,Presidential democracy,1,0.9868,0.0114,Never colonized,Common,6,0.50985648,5,0.297,1,0.691,1,0.0078,1.1376208750972803,0.9982617234512904,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,9,0,0,1,1,1,1,1,87,327,0.26605504587155965,24.3524067400051,-1.5045113075293726,NA,71,0.03092131853117148,0.01657117265441845,TRUE,TRUE,TRUE,FALSE,TRUE
