gwcode,country,years
31,Bahamas,1995 to 2005
53,Barbados,1995 to 2005
54,Dominica,1995 to 2005
55,Grenada,1995 to 2005
56,Saint Lucia,1995 to 2005
57,Saint Vincent and the Grenadines,1995 to 2005
58,Antigua & Barbuda,1995 to 2005
60,Saint Kitts and Nevis,1995 to 2005
80,Belize,1995 to 2005
212,Luxembourg,1995 to 2005
221,Monaco,1995 to 2005
223,Liechtenstein,1995 to 2005
232,Andorra,1995 to 2005
317,Slovakia,1995 to 2005
331,San Marino,1995 to 2005
338,Malta,1995 to 2005
352,Cyprus,1995 to 2005
395,Iceland,1995 to 2005
402,Cape Verde,1995 to 2005
403,São Tomé and Principe,1995 to 2005
411,Equatorial Guinea,1995 to 2005
522,Djibouti,1995 to 2005
581,Comoros,1995 to 2005
591,Seychelles,1995 to 2005
692,Bahrain,1995 to 2005
713,Taiwan,1995 to 2005
760,Bhutan,1995 to 2005
781,Maldives,1995 to 2005
835,Brunei,1995 to 2005
935,Vanuatu,1995 to 2005
940,Solomon Islands,1995 to 2005
950,Fiji,1995 to 2005
970,Kiribati,1995 to 2005
971,Nauru,1995 to 2005
972,Tonga,1995 to 2005
973,Tuvalu,1995 to 2005
983,Marshall Islands,1995 to 2005
986,Palau,1995 to 2005
987,Federated States of Micronesia,1995 to 2005
990,Samoa/Western Samoa,1995 to 2005
