outcome,model_name,AIC,BIC,MAE,RMSE
criminal,mdl_base1,7904.71297163271,7915.534875383877,2.2118302065261943,4.157079236956775
criminal,mdl_base2,7679.944033602183,7706.998792980101,2.0763499650051256,3.6220033058044194
criminal,mdl_ccp_dueproc_basic,7906.287266447649,7922.5201220744,2.212708663885195,4.159205417988064
criminal,mdl_ccp_dueproc_w_controls,7677.562191159861,7710.027902413362,2.0737118288686536,3.618595643451771
criminal,mdl_ccp_habcorp_basic,7906.6686237531585,7922.90147937991,2.212022578355625,4.15757497984186
criminal,mdl_ccp_habcorp_w_controls,7680.280067281829,7712.745778535331,2.0756207790692356,3.6216906243783216
criminal,mdl_ccp_prerel_basic,7856.7679959687985,7873.00085159555,2.1920213455595925,4.138521492488117
criminal,mdl_ccp_prerel_w_controls,7640.087805099209,7672.55351635271,2.0631850889836874,3.607215115615737
criminal,mdl_ccp_speedtri_basic,7860.876372741059,7877.10922836781,2.1872701078821777,4.125674228686274
criminal,mdl_ccp_speedtri_w_controls,7636.145110096537,7668.610821350038,2.0576110520417994,3.578807296687346
criminal,mdl_ccp_torture_basic,7895.2004151705005,7911.433270797252,2.209334614361093,4.161493534435063
criminal,mdl_ccp_torture_w_controls,7665.8931928439315,7698.358904097433,2.067696024516055,3.6162322626356223
criminal,mdl_epr_excluded_group_pop_basic,7857.705999716031,7873.9388553427825,2.1900610892841854,4.1257481023113245
criminal,mdl_epr_excluded_group_pop_w_controls,7637.760829761631,7670.226541015132,2.063949885580148,3.584724048372234
criminal,mdl_epr_excluded_groups_count_basic,7886.128765419307,7902.361621046058,2.207563207981786,4.149159359308224
criminal,mdl_epr_excluded_groups_count_w_controls,7660.024897577402,7692.4906088309035,2.066847697503203,3.6026720039557825
criminal,mdl_v2asuffrage_basic,7890.3064509657725,7906.539306592524,2.2034270014082726,4.146763428508999
criminal,mdl_v2asuffrage_w_controls,7669.655025624017,7702.1207368775185,2.0693409475674747,3.6138979619893568
criminal,mdl_v2clacjust_basic,7886.350484714633,7902.583340341384,2.198486729159328,4.120006373011564
criminal,mdl_v2clacjust_w_controls,7671.319442253989,7703.785153507491,2.0670590892817136,3.585032007748423
criminal,mdl_v2clsocgrp_basic,7864.511379851625,7880.744235478376,2.1955445006514833,4.102278719915849
criminal,mdl_v2clsocgrp_w_controls,7674.733599758407,7707.199311011908,2.0729193513818265,3.622165259676071
criminal,mdl_v2pepwrses_basic,7902.801106042472,7919.033961669224,2.2099597679987815,4.176364340040213
criminal,mdl_v2pepwrses_w_controls,7679.954522069297,7712.420233322799,2.0755231083190377,3.629445583619333
criminal,mdl_v2pepwrsoc_basic,7904.47406511942,7920.706920746171,2.2123329045703026,4.1816567600595045
criminal,mdl_v2pepwrsoc_w_controls,7679.092048006752,7711.557759260253,2.078943371164346,3.638101308419626
criminal,mdl_v2x_elecoff_basic,7878.348113836316,7894.580969463067,2.2011365816160797,4.146131337223274
criminal,mdl_v2x_elecoff_w_controls,7659.262023291504,7691.727734545006,2.0657648328416585,3.6113620188927307
criminal,mdl_v2x_jucon_basic,7891.190704868663,7907.423560495414,2.2018361171396434,4.143330588012674
criminal,mdl_v2x_jucon_w_controls,7680.110475054802,7712.5761863083035,2.0750195254653634,3.6221224307696858
criminal,mdl_v2xel_frefair_basic,7898.752504763725,7914.985360390476,2.2103452186104255,4.170241085801447
criminal,mdl_v2xel_frefair_w_controls,7681.126533180388,7713.592244433889,2.077132242872652,3.6260545822877224
