variable,specification,outcome,MAE,RMSE,CRPS
ccp_speedtri,controls,Criminal,2.297850045822358,4.06099687147278,1.7088618071817103
ccp_prerel,controls,Criminal,2.3001005854453513,4.092110714188375,1.7127926760767904
epr_excluded_group_pop,controls,Criminal,2.3033406433461248,4.07305505664063,1.7133541987801062
v2clacjust,controls,Criminal,2.3096339374258554,4.087055337375081,1.7218865214204826
ccp_torture,controls,Criminal,2.3150593147364114,4.109468415843526,1.7246626621210521
none,controls,Criminal,2.3147486169168903,4.108764939814197,1.7253963880092182
v2clsocgrp,controls,Criminal,2.316382109976833,4.113993520798747,1.7259521569984442
v2xlg_legcon,controls,Criminal,2.318412213013151,4.1161392500527665,1.7275094082670142
ccp_habcorp,controls,Criminal,2.3181286644152745,4.113192208922829,1.7279923194371802
v2x_jucon,controls,Criminal,2.317925474907452,4.117377788727524,1.7281713558572342
v2pepwrses,controls,Criminal,2.318990007099713,4.122755153240649,1.7292823720599015
ccp_dueproc,controls,Criminal,2.3197661171076076,4.117672307229588,1.7297371581308403
v2pepwrsoc,controls,Criminal,2.320101332847534,4.126795898927462,1.7299328946735402
ccp_prerel,controls,Dissident,2.4039577353259753,4.743082336608424,1.819346103147666
v2x_jucon,controls,Dissident,2.401482323859407,4.7002360816188355,1.8213181309414697
epr_excluded_group_pop,controls,Dissident,2.40175902744831,4.728398495472892,1.8226336604949538
ccp_dueproc,controls,Dissident,2.4149603960426202,4.7710202274591795,1.8313336147340202
ccp_speedtri,controls,Dissident,2.41920623587278,4.7734095940243595,1.8348562203890286
v2pepwrses,controls,Dissident,2.4245883686733203,4.800786136861542,1.8376895190771465
ccp_habcorp,controls,Dissident,2.4252442788912543,4.784648586727699,1.8400920454503629
none,controls,Dissident,2.4243848666191274,4.783724338001419,1.8402361814039496
v2clacjust,controls,Dissident,2.4294546846053917,4.788158406192007,1.8441598257726357
v2xlg_legcon,controls,Dissident,2.429433745434315,4.806066052441193,1.8447343554628666
ccp_torture,controls,Dissident,2.434150727136899,4.832003660655077,1.8486178957142052
v2clsocgrp,controls,Dissident,2.43230908237051,4.826584863222779,1.8491370868336956
v2pepwrsoc,controls,Dissident,2.4367894841590445,4.8267568891350106,1.8503922628887257
v2pepwrses,controls,Marginalized,2.821605706840416,6.301871285655379,2.1797514294231934
v2clsocgrp,controls,Marginalized,2.8273485066497552,6.299058581986117,2.1851645293555637
ccp_dueproc,controls,Marginalized,2.833110745778269,6.481177693725635,2.193284784266727
ccp_prerel,controls,Marginalized,2.8426030383921277,6.501606232202093,2.2013488268890806
v2clacjust,controls,Marginalized,2.8424382441809737,6.4670047379181,2.2030271079765242
none,controls,Marginalized,2.850666588898311,6.509599285907717,2.208658940315442
epr_excluded_group_pop,controls,Marginalized,2.848817665058342,6.512519447409269,2.208950226557001
ccp_habcorp,controls,Marginalized,2.850826783888425,6.506756331021592,2.2092326593190363
v2pepwrsoc,controls,Marginalized,2.851540276720744,6.474813819740945,2.2096782700976054
v2xlg_legcon,controls,Marginalized,2.8523095287042053,6.517197474485265,2.210232199514506
ccp_speedtri,controls,Marginalized,2.851425014569332,6.512762969456708,2.2115466698330963
ccp_torture,controls,Marginalized,2.854775028083409,6.513086096292815,2.212502683113295
v2x_jucon,controls,Marginalized,2.857261738494441,6.5187246993184385,2.214802702791414
